,State_Name,State_ab,Lat,Lon,Mean,Median,Stdev,easting,northing,zone_number,zone_letter
18841,New York,NY,43.810218,-76.02297800000001,54499,37697,48943,417722.4809439397,4851303.028731744,18,T
18843,New York,NY,41.848203000000005,-73.555575,82188,56048,67388,619909.1436037945,4633931.095154971,18,T
18844,New York,NY,42.070565,-76.16263599999999,73219,54363,55251,403819.0178738937,4658264.931545201,18,T
18845,New York,NY,40.588013000000004,-73.72936,131519,114157,78333,607526.7646880747,4493800.034678809,18,T
18846,New York,NY,42.301697,-75.478883,52841,44096,42015,460527.89421634737,4683385.203103762,18,T
18847,New York,NY,40.606348,-73.64598199999999,110516,91529,71566,614551.4454363411,4495940.506066638,18,T
18848,New York,NY,41.447173,-74.118707,100299,102874,56742,573615.2633826534,4588774.210872747,18,T
18850,New York,NY,41.068236,-73.954937,123435,115560,76643,587801.3687292358,4546858.033299341,18,T
18851,New York,NY,43.480862,-75.329636,48744,30120,49269,473342.37535856554,4814268.723375541,18,T
18852,New York,NY,43.149446000000005,-75.98531,56966,300000,38069,419883.6575508368,4777881.887163541,18,T
18853,New York,NY,40.939444,-73.82644599999999,166618,188499,84387,598788.9551016235,4532697.7953838445,18,T
18854,New York,NY,42.583882,-77.791523,49572,300000,30354,270930.39667439146,4718384.855670406,18,T
18855,New York,NY,42.89908,-74.56786899999999,57101,46044,47326,535279.9010398678,4749698.465161652,18,T
18856,New York,NY,43.134003,-74.48142299999999,62519,41994,54778,542176.4242299029,4775826.275173226,18,T
18857,New York,NY,42.467675,-76.488417,103670,79328,74957,377638.316698715,4702776.978070535,18,T
18858,New York,NY,40.898546,-73.521919,144265,138812,84906,624501.289560379,4528546.350677785,18,T
18859,New York,NY,42.171427,-75.85771899999999,78956,69168,54557,429156.4609847206,4669165.861410104,18,T
18860,New York,NY,43.084579,-75.376112,56797,54115,39674,469385.7980962549,4770275.857369825,18,T
18861,New York,NY,42.679002000000004,-74.48523399999999,53309,36775,53716,542175.5278265527,4725297.952366863,18,T
18862,New York,NY,42.802175,-77.70111999999999,88118,74743,62925,279124.7650513378,4742386.011890344,18,T
18863,New York,NY,40.671987,-73.39386,81303,66593,58967,635748.9795660812,4503585.755881486,18,T
18864,New York,NY,42.357628000000005,-73.807989,70353,52459,61539,598165.4928103255,4690172.547373162,18,T
18865,New York,NY,44.716406,-73.396518,79608,300000,58886,627000.9692032057,4952698.035666325,18,T
18866,New York,NY,44.512052000000004,-75.297688,85971,73180,60953,476339.34744149476,4928790.979404979,18,T
18867,New York,NY,44.011179,-76.042982,57122,47195,46662,416395.3805247199,4873643.204026826,18,T
18868,New York,NY,42.763422999999996,-74.133129,67812,300000,52636,570927.9171141803,4734908.192477068,18,T
18869,New York,NY,40.729308,-73.41420500000001,93730,82140,64884,633914.5012202088,4509917.743324152,18,T
